| HTTP | Route | Controller@Method | STATUS |
| GET | /purchase-orders/{id} | PurchaseOrderController@show | UNVERIFIED |
| POST | /purchase-orders | PurchaseOrderController@store | UNVERIFIED |
| POST | /purchase-orders/{id}/receive | PurchaseOrderController@receive | UNVERIFIED |
| POST | /purchase-orders/{id}/cancel | PurchaseOrderController@cancel | UNVERIFIED |
| GET | /purchase-requirements | PurchaseRequirementController@index | UNVERIFIED |
| GET | /purchase-requirements/group | PurchaseRequirementController@group | MISMATCH |
| POST | /purchase-requirements/convert | PurchaseRequirementController@convert | UNVERIFIED |
| GET | /reports/dashboard | ReportController@dashboard | UNVERIFIED |
| GET | /reports/sales | ReportController@sales | UNVERIFIED |
| GET | /reports/profit | ReportController@profit | UNVERIFIED |
| GET | /reports/sales-by-salesman | ReportController@salesBySalesman | UNVERIFIED |
| GET | /reports/customer-debts | ReportController@customerDebts | UNVERIFIED |
| GET | /reports/supplier-debts | ReportController@supplierDebts | UNVERIFIED |
| GET | /reports/payments-history | ReportController@paymentsHistory | UNVERIFIED |
| GET | /reports/low-stock | ReportController@lowStock | UNVERIFIED |
| GET | /reports/stock-movements | ReportController@stockMovements | UNVERIFIED |
| GET | /reports/stock-transfers | ReportController@stockTransfers | UNVERIFIED |
| GET | /audit-logs | AuditLogController@index | MISMATCH |
| GET | /audit-logs/{id} | AuditLogController@show | MISMATCH |
| GET | /audit-logs/entity/{entityType}/{entityId} | AuditLogController@entityHistory | MISMATCH |
| GET | /notifications | NotificationController@index | UNVERIFIED |
| GET | /notifications/unread-count | NotificationController@unreadCount | UNVERIFIED |
| POST | /notifications/read | NotificationController@markAllRead | UNVERIFIED |
| POST | /notifications/{id}/read | NotificationController@markRead | UNVERIFIED |
| POST | /device-token | NotificationController@registerDeviceToken | UNVERIFIED |
| DELETE | /device-token | NotificationController@removeDeviceToken | UNVERIFIED |
| GET | /notifications/whatsapp-logs | NotificationController@whatsAppLogs | UNVERIFIED |
| POST | /notifications/whatsapp/{id}/retry | NotificationController@retryWhatsApp | UNVERIFIED |
